NAME,CATEGORY,PROVINCE,LAT,LON,DESCRIPTION
Landmark 81,Tòa nhà chọc trời,TP. Hồ Chí Minh,10.795021,106.721542,Tòa nhà cao nhất Việt Nam tại quận Bình Thạnh
Chợ Bến Thành,Chợ truyền thống,TP. Hồ Chí Minh,10.772545,106.698042,Biểu tượng lịch sử và mua sắm trung tâm quận 1
Nhà thờ Đức Bà,Di tích tôn giáo,TP. Hồ Chí Minh,10.779785,106.699018,Công trình kiến trúc Pháp cổ kính tại trung tâm Sài Gòn
Dinh Độc Lập,Di tích lịch sử,TP. Hồ Chí Minh,10.777013,106.695427,Di tích lịch sử quốc gia đặc biệt tại quận 1
Bưu điện Trung tâm Sài Gòn,Kiến trúc cổ,TP. Hồ Chí Minh,10.779836,106.699971,Điểm tham quan kiến trúc nổi tiếng tại quận 1
Phố đi bộ Nguyễn Huệ,Không gian công cộng,TP. Hồ Chí Minh,10.773821,106.703214,Quảng trường đi bộ sầm uất bậc nhất TP.HCM
Tòa tháp Bitexco Financial Tower,Tòa nhà chọc trời,TP. Hồ Chí Minh,10.771542,106.704218,Biểu tượng búp sen hiện đại của Sài Gòn
Bến Nhà Rồng,Bảo tàng lịch sử,TP. Hồ Chí Minh,10.768142,106.706782,Nơi Bác Hồ ra đi tìm đường cứu nước
Hồ Gươm - Tháp Rùa,Danh lam thắng cảnh,Hà Nội,21.028667,105.852148,Trái tim lịch sử và văn hóa của thủ đô Hà Nội
Lăng Chủ tịch Hồ Chí Minh,Di tích lịch sử,Hà Nội,21.036814,105.834604,Quảng trường Ba Đình và nơi an nghỉ của Bác Hồ
Chùa Một Cột,Di tích tôn giáo,Hà Nội,21.035853,105.833596,Ngôi chùa có kiến trúc đài sen độc đáo nghìn năm tuổi
Nhà hát Lớn Hà Nội,Kiến trúc nghệ thuật,Hà Nội,21.024467,105.857476,Công trình biểu diễn nghệ thuật kiến trúc Tân Cổ Điển
Cầu Long Biên,Di tích lịch sử,Hà Nội,21.042784,105.856985,Cây cầu thép lịch sử bắc qua sông Hồng
Văn Miếu - Quốc Tử Giám,Di tích lịch sử,Hà Nội,21.029382,105.835492,Trường đại học đầu tiên của Việt Nam
Hồ Tây - Chùa Trấn Quốc,Danh lam thắng cảnh,Hà Nội,21.047814,105.836741,Ngôi chùa cổ nhất Thăng Long bên bờ Hồ Tây thơ mộng
Nhà thờ Lớn Hà Nội,Di tích tôn giáo,Hà Nội,21.028741,105.849382,Nhà thờ kiến trúc Gothic cổ kính trung tâm phố cổ
Cầu Rồng,Cầu biểu tượng,Đà Nẵng,16.061073,108.227225,Cây cầu phun lửa và nước bắc qua sông Hàn
Cầu Vàng Bà Nà Hills,Điểm du lịch,Đà Nẵng,15.995383,107.996452,Cây cầu bàn tay khổng lồ trên đỉnh núi Bà Nà
Bán đảo Sơn Trà - Chùa Linh Ứng,Du lịch tâm linh,Đà Nẵng,16.100142,108.277817,Tượng Phật Bà Quan Âm nhìn ra biển Đông
Danh thắng Ngũ Hành Sơn,Danh lam thắng cảnh,Đà Nẵng,16.004812,108.263821,Quần thể 5 ngọn núi đá vôi huyền bí ven biển
Phố cổ Hội An,Di sản văn hóa,Quảng Nam,15.880058,108.338047,Khu phố cổ đèn lồng rực rỡ bên dòng sông Hoài
Thánh địa Mỹ Sơn,Di sản văn hóa,Quảng Nam,15.795814,108.124382,Quần thể đền tháp Chăm Pa cổ di sản UNESCO
Đại Nội Huế,Quần thể di tích,Thừa Thiên Huế,16.469956,107.578644,Hoàng thành triều Nguyễn di sản thế giới UNESCO
Chùa Thiên Mụ,Di tích tôn giáo,Thừa Thiên Huế,16.453392,107.544839,Ngôi chùa cổ kính bên bờ sông Hương thơ mộng
Lăng Khải Định,Di tích lịch sử,Thừa Thiên Huế,16.398741,107.590382,Công trình kiến trúc lăng tẩm kết hợp Đông Tây độc đáo
Cầu Tràng Tiền,Cầu biểu tượng,Thừa Thiên Huế,16.468142,107.594382,Biểu tượng duyên dáng bắc qua dòng sông Hương
Biển Hồ (Hồ T'Nưng),Danh lam thắng cảnh,Gia Lai,14.053421,108.000382,Đôi mắt Pleiku - Hồ nước miệng núi lửa nguyên sơ tuyệt đẹp
Núi lửa Chư Đăng Ya,Cảnh quan địa chất,Gia Lai,14.128741,108.049382,Miệng núi lửa triệu năm nổi tiếng mùa hoa dã quỳ Gia Lai
Thác Dray Nur,Thác nước thiên nhiên,Đắk Lắk,12.535892,107.893421,Thác nước hùng vĩ bậc nhất cao nguyên Tây Nguyên
Hồ Lắk,Danh lam thắng cảnh,Đắk Lắk,12.418741,108.174382,Hồ nước ngọt tự nhiên lớn nhất Tây Nguyên
Nhà thờ Gỗ Kon Tum,Kiến trúc tôn giáo,Kon Tum,14.346741,108.012382,Kiến trúc Roman kết hợp nhà sàn Ba Na gỗ cà chít
Nhà rông Kon Klor,Văn hóa dân tộc,Kon Tum,14.351294,108.016382,Nhà rông truyền thống lớn nhất Tây Nguyên bên sông Đăk Bla
Hồ Tuyền Lâm,Danh lam thắng cảnh,Lâm Đồng,11.895392,108.435281,Hồ nước thơ mộng giữa rừng thông Đà Lạt
Hồ Xuân Hương,Danh lam thắng cảnh,Lâm Đồng,11.940582,108.445391,Trái tim thơ mộng của thành phố sương mù Đà Lạt
Thung lũng Tình Yêu,Điểm du lịch,Lâm Đồng,11.979382,108.452382,Thắng cảnh lãng mạn bậc nhất thành phố Đà Lạt
Vịnh Hạ Long,Di sản thiên nhiên,Quảng Ninh,20.910052,107.183902,Kỳ quan thiên nhiên thế giới với hàng nghìn đảo đá vôi
Quần thể danh thắng Tràng An,Di sản kép UNESCO,Ninh Bình,20.253684,105.908235,Vùng non nước hữu tình và hang động kỳ vĩ
Chùa Bái Đính,Du lịch tâm linh,Ninh Bình,20.274382,105.864382,Quần thể chùa lớn nhất Đông Nam Á
Tam Cốc - Bích Động,Danh lam thắng cảnh,Ninh Bình,20.218741,105.934382,Nam thiên đệ nhị động bên dòng sông Ngô Đồng
Đỉnh Fansipan,Danh lam thắng cảnh,Lào Cai,22.303387,103.775085,Nóc nhà Đông Dương tại Sa Pa
Nhà thờ Đá Sa Pa,Kiến trúc cổ,Lào Cai,22.335814,103.842382,Biểu tượng kiến trúc Gothic cổ kính trung tâm Sa Pa
Cột cờ Lũng Cú,Di tích lịch sử,Hà Giang,23.364417,105.319083,Điểm cực Bắc thiêng liêng của Tổ quốc
Đèo Mã Pí Lèng - Hẻm Tu Sản,Danh lam thắng cảnh,Hà Giang,23.238741,105.418382,Đệ nhất hùng quan bên dòng sông Nho Quế xanh biếc
Thác Bản Giốc,Thác nước thiên nhiên,Cao Bằng,22.854382,106.723481,Thác nước tự nhiên đẹp nhất Đông Nam Á
Hồ Ba Bể,Danh lam thắng cảnh,Bắc Kạn,22.408741,105.624382,Hồ nước ngọt tự nhiên trên núi đá vôi lớn nhất Việt Nam
Thung lũng Mai Châu,Văn hóa dân tộc,Hòa Bình,20.668741,105.084382,Bản làng người Thái thanh bình giữa thung lũng xanh
Mộc Châu - Đồi chè Trái Tim,Cảnh quan nông nghiệp,Sơn La,20.843741,104.654382,Cao nguyên xanh ngát và những đồi chè thơ mộng
Vườn quốc gia Phong Nha - Kẻ Bàng,Di sản thiên nhiên,Quảng Bình,17.588741,106.284382,Vương quốc hang động thế giới
Hang Sơn Đoòng,Kỳ quan thiên nhiên,Quảng Bình,17.458741,106.284382,Hang động tự nhiên lớn nhất hành tinh
Tháp Chàm Ponagar,Di tích văn hóa,Khánh Hòa,12.265392,109.195828,Quần thể đền tháp Chăm Pa cổ tại TP. Nha Trang
VinWonders Nha Trang (Hòn Tre),Khu vui chơi giải trí,Khánh Hòa,12.218741,109.244382,Công viên giải trí đảo Hòn Tre nổi tiếng
Đồi cát Mũi Né,Cảnh quan thiên nhiên,Bình Thuận,10.957519,108.293402,Đồi cát bay đỏ và trắng nổi tiếng Phan Thiết
Hải đăng Kê Gà,Kiến trúc hàng hải,Bình Thuận,10.697412,107.994382,Ngọn hải đăng cổ kính và cao nhất Việt Nam
Gành Đá Đĩa,Kỳ quan địa chất,Phú Yên,13.354382,109.294382,Tuyệt tác đá bazan xếp lớp độc nhất vô nhị bên bờ biển
Mũi Điện - Bãi Môn,Danh lam thắng cảnh,Phú Yên,12.894382,109.454382,Nơi đón ánh bình minh đầu tiên trên đất liền Việt Nam
Kỳ Co - Eo Gió,Danh lam thắng cảnh,Bình Định,13.884382,109.304382,Tuyệt tình cốc và bờ biển xanh ngắt của Quy Nhơn
Chợ nổi Cái Răng,Văn hóa sông nước,Cần Thơ,10.005214,105.746018,Chợ nổi đặc trưng lớn nhất miền Tây Nam Bộ
Bến Ninh Kiều,Danh lam thắng cảnh,Cần Thơ,10.033741,105.789382,Biểu tượng du lịch bên bờ sông Cần Thơ
Rừng tràm Trà Sư,Du lịch sinh thái,An Giang,10.518741,105.044382,Thảm bèo xanh mướt và hệ sinh thái ngập nước An Giang
Miếu Bà Chúa Xứ Núi Sam,Du lịch tâm linh,An Giang,10.668741,105.124382,Điểm hành hương tâm linh nổi tiếng bậc nhất Nam Bộ
Mũi Cà Mau,Địa danh địa lý,Cà Mau,8.604672,104.717789,Điểm cực Nam của dải đất hình chữ S
Đảo Phú Quốc - Bãi Sao,Bãi biển nghỉ dưỡng,Kiên Giang,10.054382,104.034382,Thiên đường biển đảo ngọc cát trắng mịn
Grand World Phú Quốc,Khu giải trí,Kiên Giang,10.334382,103.864382,Thành phố không ngủ rực rỡ tại Bắc đảo Phú Quốc
Côn Đảo - Nghĩa trang Hàng Dương,Di tích lịch sử,Bà Rịa - Vũng Tàu,8.684382,106.614382,Vùng đất thiêng liêng ghi dấu lịch sử anh hùng
Tượng Chúa Kitô Vua Vũng Tàu,Tượng đài tôn giáo,Bà Rịa - Vũng Tàu,10.324382,107.084382,Tượng Chúa dang tay lớn nhất châu Á trên đỉnh Núi Nhỏ
Quần đảo Hoàng Sa,Chủ quyền biển đảo,Đà Nẵng,16.536902,112.012584,Quần đảo thiêng liêng của Tổ quốc Việt Nam
Quần đảo Trường Sa,Chủ quyền biển đảo,Khánh Hòa,8.644192,111.919028,Quần đảo thiêng liêng của Tổ quốc Việt Nam
Quan An 19,Nhà hàng ẩm thực,Việt Nam,15.876334,108.330143,Nhà hàng ẩm thực tại Hoàng Văn Thụ
